split,threshold,mean_%,std_%
train,230.0,46.222328161239176,34.456966196344624
train,220.0,18.75068954949433,19.017170523395897
train,210.0,6.6291670923145025,9.118087247842766
val,230.0,34.57556667915234,34.595839175188075
val,220.0,13.952289607004083,19.772238140161374
val,210.0,4.247844330181647,8.025459954840263
test,230.0,49.216807981748225,32.642668506396596
test,220.0,19.621547996049983,19.24013587288945
test,210.0,6.2629482071713145,9.13806318385631
